,before robot,after robot
eeg.af3,0.022868946308238772,0.06751843310211965
eeg.f7,8.552470483115014,10.909931778181278
eeg.f3,-0.01275035904239596,-0.031229126286786646
eeg.fc5,0.198904144738641,-0.252886893682032
eeg.t7,-0.25188552873628395,0.042767439360836754
eeg.p7,0.6785419518981344,0.2353108668735488
eeg.o1,0.22792766586170918,0.182692846965078
eeg.o2,0.08070931093925146,0.09354987633480773
eeg.p8,0.02390207173087739,0.06829439138399857
eeg.t8,-0.14602229704329056,0.5704097306671473
eeg.fc6,0.06348922115799767,0.260936719326618
eeg.f4,0.10626415105911213,0.10514234456615135
eeg.f8,-0.1732019361417647,-1.6469606970190918
eeg.af4,2.5205414127833534,1.4282335022400672
