,discount,limited edition
eeg.af3,-0.240561989254069,-0.17508593397149716
eeg.f7,-0.054686309570312196,-0.31163868926650323
eeg.f3,0.006105694260844979,0.0007783215679296422
eeg.fc5,-0.1775661778964075,-0.2704554289257424
eeg.t7,0.27195634222028087,0.34238027612153343
eeg.p7,0.15285708969185696,-0.10362134035042513
eeg.o1,-0.3143159080226419,-0.2864367899906996
eeg.o2,0.26012925706971457,0.12303713710850686
eeg.p8,0.37765190961606143,0.3458637013119668
eeg.t8,0.015836028354124777,0.24055961475116655
eeg.fc6,-0.21707835356351315,-0.23870960701672875
eeg.f4,-0.03724063367569285,0.038007893149229734
eeg.f8,-0.061046909823362805,0.01859081859263207
eeg.af4,0.18103685737945557,0.4079790008973889
