,regret,unregret
eeg.af3,-0.05849565744904437,-0.189905319131819
eeg.f7,0.11650310193986162,3.7327485064749566
eeg.f3,0.12660247313636072,-0.04254272048337378
eeg.fc5,2.062469785080285,2.3257628378068693
eeg.t7,24.69643593222517,2.3759882689824465
eeg.p7,-0.0012263018206691613,-0.4311781229782497
eeg.o1,0.42201124741081486,0.5350708682998497
eeg.o2,-0.027031883317699793,0.061433594882931354
eeg.p8,0.1700507584019788,0.06207161305393496
eeg.t8,-0.6731947599284679,2.4388916401520757
eeg.fc6,-1.3640230768518435,-1.4300699750433497
eeg.f4,0.09975742044931707,0.03250011488665416
eeg.f8,-1.2853554763179915,-1.4444124841889
eeg.af4,0.9741918107512526,0.5593444539717098
