,related,unrelated
eeg.af3,0.029536851941746777,-0.1424646614567573
eeg.f7,0.023962467157674427,-0.007025371112796108
eeg.f3,0.01768047423610052,0.03985880768127884
eeg.fc5,-0.1925147032061268,-0.2074774457150533
eeg.t7,0.024671505532633132,0.021036752107205948
eeg.p7,-0.12387543380966051,-0.11649036227586695
eeg.o1,-0.26950964095503477,-0.12068650653474251
eeg.o2,-0.06932691935930534,0.29483939654131774
eeg.p8,0.11575053955797043,0.24088354406045603
eeg.t8,0.1255413271304774,-0.024608701626447772
eeg.fc6,-0.0608657945109651,-0.23778632792483698
eeg.f4,-0.08104414370521078,0.0889418675979258
eeg.f8,-0.08962113357032905,-0.11662922594912353
eeg.af4,0.044681534691950006,-0.03940980503776057
